BLItemNo	ElementId	LdrawId	PartName	BLColorId	LDrawColorId	ColorName	ColorCategory	Qty	Weight
10197	6005331	10197	Technic, Axle and Pin Connector Hub with 2 Perpendicular Axles	85	72	Dark Bluish Gray	Solid Colors	2	0.47
11214	6015356	11214	Technic, Axle Pin 3L with Friction Ridges Lengthwise and 1L Axle	85	72	Dark Bluish Gray	Solid Colors	2	0.35
11215	6028811	11215	Bracket 5 x 2 x 1 1/3 with 2 Holes	86	71	Light Bluish Gray	Solid Colors	1	2.17
11477	6055225	11477	Slope, Curved 2 x 1 No Studs	80	288	Dark Green	Solid Colors	4	0.31
11477	6028813	11477	Slope, Curved 2 x 1 No Studs	86	71	Light Bluish Gray	Solid Colors	8	0.31
14769	6052200	14769	Tile, Round 2 x 2 with Bottom Stud Holder	86	71	Light Bluish Gray	Solid Colors	2	0.33
15068	6053077	15068	Slope, Curved 2 x 2 No Studs	11	0	Black	Solid Colors	1	0.57
15068	6101285	15068	Slope, Curved 2 x 2 No Studs	80	288	Dark Green	Solid Colors	2	0.57
15303	6062599	15303	Bar   8L with Round End (Spring Shooter Dart)	108	35	Trans-Bright Green	Transparent Colors	2	0.65
15301c01	6048898	15301c01	Spring Shooter with Light Bluish Gray Top - Complete Assembly	85	72	Dark Bluish Gray	Solid Colors	2	1.9
18651	6089119	18651	Technic, Axle Pin 3L with Friction Ridges Lengthwise and 2L Axle	11	0	Black	Solid Colors	4	0.32
18654	6100030	18654	Technic, Pin Connector Round 1L	85	72	Dark Bluish Gray	Solid Colors	2	0.17
18671	6099909	18671	Bracket 3 x 2 x 1 1/3	85	72	Dark Bluish Gray	Solid Colors	4	1.68
18677	6168633	18677	Plate, Modified 1 x 2 with Pin Hole on Bottom	86	71	Light Bluish Gray	Solid Colors	8	0.4
2412b	4124456	2412b	Tile, Modified 1 x 2 Grille with Bottom Groove / Lip	2	19	Tan	Solid Colors	2	0.23
2420	4210635	2420	Plate 2 x 2 Corner	85	72	Dark Bluish Gray	Solid Colors	4	0.54
24201	6144138	24201	Slope, Curved 2 x 1 Inverted	86	71	Light Bluish Gray	Solid Colors	2	0.36
2431	4543949	2431	Tile 1 x 4	80	288	Dark Green	Solid Colors	4	0.54
2450	4227684	2450	Wedge, Plate 3 x 3 Cut Corner	11	0	Black	Solid Colors	2	1.08
2450	4211361	2450	Wedge, Plate 3 x 3 Cut Corner	86	71	Light Bluish Gray	Solid Colors	8	1.08
2654	4278407	2654	Plate, Round 2 x 2 with Rounded Bottom (Boat Stud)	74	41	Trans-Medium Blue	Transparent Colors	2	0.45
